Subfolder,Child Folder,Longest delay (ns),Longest path,Total logic gates,Total delay
,23,4,0 -> 1 -> OUT,2,4
,24,4,0 -> 1 -> OUT,2,4
,3,4,0 -> 1 -> OUT,2,4
,4,4,0 -> 1 -> OUT,2,4
,5,4,0 -> 1 -> OUT,2,4
,6,4,0 -> 1 -> OUT,2,4
,7,4,0 -> 1 -> OUT,2,4
,8,4,0 -> 1 -> OUT,2,4
,9,4,0 -> 1 -> OUT,2,4
,,,,,
6_xnor_gate,,,,,
,0,6,0 -> 3 -> 4 -> OUT,5,6
,1,6,1 -> 3 -> 4 -> OUT,5,6
,10,6,1 -> 3 -> 4 -> OUT,5,6
,11,6,0 -> 3 -> 4 -> OUT,5,6
,12,6,0 -> 3 -> 4 -> OUT,5,6
,13,8,1 -> 0 -> OUT,6,8
,14,6,1 -> 3 -> 4 -> OUT,5,6
,16,8,1 -> 3 -> 5 -> 0 -> OUT,6,8
,17,8,1 -> 0 -> OUT,6,8
,18,8,1 -> 0 -> OUT,6,8
,19,6,0 -> 3 -> 4 -> OUT,5,6
,2,6,1 -> 3 -> 4 -> OUT,5,6
,21,6,1 -> 3 -> 4 -> OUT,5,6
,23,8,1 -> 0 -> OUT,6,8
,24,6,1 -> 3 -> 4 -> OUT,5,6
,4,6,1 -> 3 -> 4 -> OUT,5,6
,5,8,1 -> 3 -> 5 -> 2 -> OUT,6,8
,6,8,1 -> 0 -> OUT,6,8
,8,6,0 -> 3 -> 4 -> OUT,5,6
,9,8,1 -> 3 -> 5 -> 2 -> OUT,6,8
,,,,,
7_double_trouble,,,,,
,0,22,4 -> 11 -> 12 -> 13 -> 14 -> 15 -> 16 -> 17 -> 18 -> 19 -> 20 -> OUT,21,22
,1,14,2 -> 8 -> 11 -> 12 -> 17 -> 18 -> 19 -> OUT,21,14
,10,8,3 -> 8 -> 9 -> 10 -> OUT,11,8
,11,14,0 -> 11 -> 12 -> 13 -> 14 -> 15 -> 20 -> OUT,21,14
,12,12,1 -> 6 -> 7 -> 8 -> 9 -> 10 -> OUT,11,12
,15,8,3 -> 8 -> 9 -> 10 -> OUT,11,8
,17,12,0 -> 6 -> 7 -> 8 -> 9 -> 10 -> OUT,11,12
,18,12,0 -> 6 -> 7 -> 8 -> 9 -> 10 -> OUT,11,12
,19,14,20 -> 5 -> 15 -> 16 -> 17 -> 18 -> 19 -> OUT,21,14
,20,12,0 -> 6 -> 7 -> 8 -> 9 -> 10 -> OUT,11,12
,21,22,0 -> 11 -> 12 -> 13 -> 14 -> 15 -> 16 -> 17 -> 18 -> 19 -> 20 -> OUT,21,22
,22,20,17 -> 7 -> 8 -> 9 -> 10 -> 11 -> 12 -> 13 -> 14 -> 15 -> OUT,19,20
,23,8,3 -> 8 -> 9 -> 10 -> OUT,11,8
,3,10,4 -> 11 -> 1 -> 2 -> 3 -> OUT,12,10
,4,16,0 -> 10 -> 11 -> 12 -> 13 -> 14 -> 18 -> 19 -> OUT,21,16
,6,12,1 -> 6 -> 7 -> 8 -> 9 -> 10 -> OUT,11,12
,8,8,3 -> 8 -> 9 -> 10 -> OUT,11,8
